
Call:
model.avg(object = bab_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
1/3/15/21    5  -9.81 31.93  0.00   0.05
4/14/18/27   5  -9.91 32.13  0.20   0.04
4/14/15/21   5 -10.36 33.02  1.09   0.03
4/14/15/27   5 -10.52 33.36  1.43   0.02
4/7/14/27    6  -9.43 34.22  2.29   0.01
4/14/27      4 -12.54 34.56  2.63   0.01
4/8/14/27    5 -11.27 34.84  2.91   0.01
1/15/21/28   7  -8.19 35.05  3.12   0.01
8/14/15/21   5 -11.61 35.52  3.59   0.01
4/14/19/27   5 -11.76 35.82  3.89   0.01
14/15/21     4 -13.24 35.96  4.03   0.01
3/14/15/21   5 -11.84 35.99  4.06   0.01
4/5/14/27    5 -11.86 36.02  4.09   0.01
4/14/21/27   5 -11.86 36.03  4.10   0.01
4/14/20/27   5 -11.87 36.05  4.12   0.01
4/7/14/21    6 -10.36 36.07  4.14   0.01
1/3/15/25    5 -11.92 36.16  4.23   0.01
4/14/18/21   5 -11.95 36.20  4.27   0.01
4/14/21      4 -13.56 36.60  4.67   0.00
4/14/16/27   5 -12.19 36.69  4.77   0.00
3/4/14/27    5 -12.20 36.70  4.77   0.00
3/7/14/21    6 -10.67 36.71  4.78   0.00
8/15/21/30   5 -12.25 36.81  4.88   0.00
15/21/28/29  8  -7.28 36.83  4.90   0.00
4/6/14/27    5 -12.28 36.86  4.93   0.00
4/13/14/27   5 -12.36 37.03  5.10   0.00
4/14/25/27   5 -12.37 37.06  5.13   0.00
14/15/18/21  5 -12.38 37.07  5.14   0.00
7/14/15/21   6 -10.86 37.09  5.16   0.00
1/8/15/30    5 -12.42 37.15  5.22   0.00
1/4/14/27    5 -12.44 37.20  5.27   0.00
4/8/14/21    5 -12.45 37.21  5.28   0.00
4/14/22/27   5 -12.47 37.24  5.31   0.00
4/14/27/30   5 -12.54 37.38  5.45   0.00
4/12/14/27   5 -12.54 37.39  5.46   0.00
1/14/15/21   5 -12.60 37.51  5.58   0.00
4/14/16/21   5 -12.65 37.60  5.67   0.00
3/14/18/21   5 -12.66 37.62  5.69   0.00
3/8/15/21    5 -12.68 37.66  5.73   0.00
11/14/15/21  6 -11.16 37.68  5.75   0.00
3/8/14/21    5 -12.75 37.80  5.87   0.00
14/15/21/27  5 -12.76 37.82  5.89   0.00
3/15/21      4 -14.25 37.98  6.05   0.00
14/15/21/22  5 -12.84 37.99  6.06   0.00
14/15/21/25  5 -12.84 37.99  6.06   0.00
3/14/21      4 -14.26 38.00  6.07   0.00
4/15/25/27   5 -12.88 38.06  6.13   0.00
8/14/16/21   5 -12.88 38.08  6.15   0.00
4/5/14/21    5 -12.95 38.20  6.27   0.00
14/15/16/21  5 -12.96 38.23  6.30   0.00
1/3/15       4 -14.37 38.23  6.30   0.00
8/15/27/30   5 -13.00 38.31  6.38   0.00
3/4/14/21    5 -13.02 38.35  6.42   0.00
1/4/14/15    5 -13.02 38.36  6.43   0.00
14/15/21/28  7  -9.85 38.38  6.45   0.00
8/15/21      4 -14.46 38.39  6.47   0.00
14/15/21/29  6 -11.52 38.40  6.47   0.00
1/8/15/21    5 -13.07 38.44  6.51   0.00
8/14/21      4 -14.49 38.47  6.54   0.00
3/15/21/25   5 -13.10 38.51  6.58   0.00
8/14/21/22   5 -13.11 38.52  6.59   0.00
4/14/21/22   5 -13.14 38.59  6.66   0.00
4/14/27/28   7  -9.98 38.62  6.69   0.00
1/3/15/19    5 -13.17 38.64  6.71   0.00
13/14/15/21  5 -13.17 38.64  6.71   0.00
4/14/15      4 -14.58 38.65  6.72   0.00
14/15/19/21  5 -13.19 38.69  6.76   0.00
6/14/15/21   5 -13.21 38.72  6.79   0.00
12/14/15/21  5 -13.23 38.76  6.83   0.00
1/4/15/21    5 -13.23 38.76  6.83   0.00
14/15/20/21  5 -13.23 38.77  6.84   0.00
14/15/21/30  5 -13.23 38.77  6.84   0.00
1/3/8/15     5 -13.23 38.78  6.85   0.00
7/15/21/30   6 -11.71 38.78  6.85   0.00
4/13/14/21   5 -13.24 38.79  6.86   0.00
5/14/15/21   5 -13.24 38.79  6.86   0.00
4/14/15/19   5 -13.25 38.81  6.88   0.00
4/14/15/25   5 -13.25 38.82  6.89   0.00
4/15/21      4 -14.67 38.82  6.89   0.00
15/21        3 -16.01 38.88  6.96   0.00
4/14/21/30   5 -13.29 38.90  6.97   0.00
1/3/15/27    5 -13.31 38.92  6.99   0.00
1/3/4/15     5 -13.32 38.94  7.01   0.00
14/21        3 -16.07 38.99  7.06   0.00
3/14/16/21   5 -13.35 39.00  7.07   0.00
1/4/14/21    5 -13.40 39.11  7.18   0.00
4/5/10/14    6 -11.91 39.18  7.25   0.00
4/15/27      4 -14.87 39.21  7.28   0.00
4/5/14/15    5 -13.45 39.22  7.29   0.00
4/12/15/21   5 -13.46 39.23  7.30   0.00
1/15/21      4 -14.88 39.24  7.31   0.00
4/14/15/18   5 -13.47 39.24  7.31   0.00
4/8/15/21    5 -13.47 39.25  7.32   0.00
1/4/15/25    5 -13.48 39.27  7.34   0.00
4/6/14/21    5 -13.48 39.28  7.35   0.00
4/14/18/22   5 -13.49 39.29  7.36   0.00
4/14/20/21   5 -13.49 39.29  7.36   0.00
3/14/18/27   5 -13.49 39.30  7.37   0.00
3/14/21/22   5 -13.50 39.30  7.37   0.00
3/14/21/30   5 -13.52 39.34  7.41   0.00
1/4/15/27    5 -13.52 39.36  7.43   0.00
1/4/15/28    7 -10.35 39.36  7.43   0.00
3/12/15/21   5 -13.54 39.40  7.47   0.00
4/15/27/28   7 -10.37 39.40  7.47   0.00
3/15/25      4 -14.96 39.41  7.48   0.00
4/12/14/21   5 -13.56 39.42  7.49   0.00
4/14/19/21   5 -13.56 39.42  7.49   0.00
4/14/21/25   5 -13.56 39.42  7.49   0.00
3/4/15/21    5 -13.58 39.46  7.53   0.00
3/15/25/27   5 -13.58 39.48  7.55   0.00
4/15/25      4 -15.00 39.48  7.55   0.00
3/15/18/21   5 -13.59 39.48  7.55   0.00
4/9/14/27    6 -12.07 39.49  7.56   0.00
8/14/15/27   5 -13.60 39.50  7.57   0.00
7/14/21      5 -13.60 39.52  7.59   0.00
7/8/14/21    5 -13.60 39.52  7.59   0.00
4/8/15/27    5 -13.61 39.53  7.60   0.00
1/4/15       4 -15.03 39.54  7.61   0.00
4/11/14/27   6 -12.10 39.56  7.63   0.00
4/15/21/25   5 -13.63 39.56  7.63   0.00
1/7/15/30    6 -12.12 39.61  7.68   0.00
4/15/27/29   6 -12.12 39.61  7.68   0.00
4/14/15/28   7 -10.48 39.63  7.70   0.00
3/14/21/27   5 -13.67 39.65  7.72   0.00
14/15/27     4 -15.09 39.66  7.73   0.00
4/14/17/27   6 -12.16 39.68  7.75   0.00
1/3/15/20    5 -13.70 39.70  7.77   0.00
8/15/16/21   5 -13.70 39.72  7.79   0.00
3/8/14/27    5 -13.71 39.73  7.80   0.00
4/14/27/29   6 -12.19 39.73  7.80   0.00
3/7/14/27    6 -12.20 39.75  7.82   0.00
7/14/16/21   6 -12.20 39.76  7.84   0.00
3/7/15/21    6 -12.20 39.77  7.84   0.00
4/14/18      4 -15.15 39.77  7.84   0.00
15/21/25     4 -15.15 39.78  7.85   0.00
4/14         3 -16.47 39.79  7.86   0.00
4/14/26/27   6 -12.23 39.82  7.89   0.00
1/4/5/15     5 -13.77 39.84  7.91   0.00
7/14/21/22   6 -12.24 39.84  7.91   0.00
14/16/21     4 -15.18 39.84  7.91   0.00
15/25        3 -16.50 39.86  7.94   0.00
4/10/14/27   6 -12.27 39.89  7.96   0.00
1/3/13/15    5 -13.80 39.90  7.97   0.00
14/18/21     4 -15.22 39.93  8.00   0.00
3/14/27      4 -15.22 39.93  8.00   0.00
3/11/15/21   6 -12.29 39.94  8.01   0.00
3/14/15/27   5 -13.86 40.03  8.10   0.00
8/14/18/21   5 -13.87 40.04  8.11   0.00
14/15/18/27  5 -13.88 40.07  8.14   0.00
14/15/25/27  5 -13.89 40.08  8.15   0.00
9/14/15/21   6 -12.37 40.10  8.17   0.00
4/14/23/27   6 -12.37 40.11  8.18   0.00
3/15/21/27   5 -13.91 40.13  8.20   0.00
14/21/22     4 -15.32 40.13  8.20   0.00
8/14/21/30   5 -13.94 40.19  8.26   0.00
4/15/21/27   5 -13.94 40.20  8.27   0.00
2/4/14/27    6 -12.43 40.21  8.28   0.00
4/14/24/27   6 -12.43 40.21  8.28   0.00
8/12/15/21   5 -13.96 40.23  8.30   0.00
1/3/14/15    5 -13.96 40.24  8.31   0.00
14/15/25     4 -15.39 40.26  8.33   0.00
3/4/15/27    5 -13.98 40.27  8.34   0.00
8/14/21/27   5 -13.98 40.27  8.34   0.00
7/15/27/30   6 -12.46 40.27  8.34   0.00
4/14/21/28   7 -10.80 40.28  8.35   0.00
