"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",-11.4690384560944,1681.12091418252,1763.36767447112,0.00650405393165341,0.9948106
"AirDetectable",0.627669013062113,16.5397386831372,17.4011662554761,0.0360705141165228,0.9712261
"SilageDetectable",-1.11221454361168,1.67881684604865,1.69960128995953,0.654397328468824,0.5128559
"BeddingRecycledManureTRUE",-4.72940799702696,1463.16902203561,1532.12156160427,0.00308683600280047,0.9975371
"I(avghum/100)",9.12935689617126,13.5473167148801,13.7230759629629,0.665255874179403,0.5058868
"UddersClippedFlamedY",0.806810942088845,1.60438714839625,1.62074117113908,0.497803694048079,0.6186224
"BeddingSandTRUE",1.23809884700314,36.6732140667799,38.5218292246913,0.0321401883535052,0.9743603
"ManureDetectable",-0.262687919792997,1.22261025588882,1.25979000590533,0.208517227920237,0.8348251
"hygiene",1.8316426101723,2.24128367546685,2.27173299751823,0.806275478752694,0.420084
"DWBelow detection",-1.73089133514577,1417.20889172542,1486.46268401395,0.00116443645290293,0.9990709
"DWDetectable",-1.59917992386709,1417.20701395602,1486.46086847269,0.00107583048957772,0.9991416
"EquipDetectable",3.33329929011948,1694.83592329607,1774.60947677624,0.00187832834983771,0.9985013
"water_pond_wellneither",-0.13454220627858,343.279383461133,361.473913312463,0.000372204469876309,0.999703
"water_pond_wellpond",-0.856458942687311,757.913319724015,796.923005980187,0.00107470726313629,0.9991425
"water_pond_wellwell",0.102940040268623,0.687325487798202,0.698127480022777,0.147451637722761,0.8827755
"PredipIodineTRUE",0.0475692115198642,0.395210860473866,0.405465314813664,0.117320051264373,0.9066064
"BeddingSawdustTRUE",0.0474766805209123,35.5484731920419,37.3334758023567,0.00127169194671971,0.9989853
"PredipPeroxideTRUE",-0.024089699016441,0.418784546846396,0.43236442346349,0.0557161915022251,0.9555679
"totalrain",-0.121325909210139,0.519366477303967,0.5280353542435,0.229768533934549,0.8182716
"I(avgtemp/100)",0.282479543885111,1.51827220645852,1.55101421449665,0.182125696363643,0.8554841
"WWDetectable",-0.571219252419683,605.262052632018,634.00585608734,0.000900968416829564,0.9992811
"WhattypeoftowelPaper",-0.042614347556627,8.81926867785661,9.30696087328412,0.0045787607938648,0.9963467
"WhattypeoftowelRobot brush",0.227221430259681,343.281419792602,361.475851584595,0.000628593664732001,0.9994985
"CommodityDetectable",0.0264820121974832,0.285609166141769,0.295970640795573,0.0894751321492536,0.9287043
"Howoftenisthefiltersockchangedperday",0.00265832744131613,0.0497444563628422,0.0514246273325156,0.0516936646740711,0.9587728
"SoilDetectable",0.0792257886828336,0.420144575946345,0.428846965637323,0.184741399685768,0.8534319
"Howoftenisbeddingtoppedupchangedperweek",-0.000689987848984777,0.161662711149273,0.166506298517243,0.00414391440521588,0.9966936
"Howoftenaremilkingunitsrinsedorsanitized3/day",0.0329122655402267,0.299518965098058,0.30518343728863,0.107844206201465,0.9141193
"Howoftenaremilkingunitsrinsedorsanitizedbetween groups",-0.0031787835246828,0.258699849987349,0.267836740717206,0.0118683624814532,0.9905306
"Howoftenarealleyscleanedpermonth90-120",0.0215804352011629,27.7045271720047,29.1119416452678,0.000741291510683927,0.9994085
"HowoftenarealleyscleanedpermonthAuto",0.0405544840062136,27.705837482933,29.1132020890719,0.00139299290686532,0.9988886
"FilterBelow detection",-0.331336680537264,544.922857015048,571.59492398885,0.000579670439032322,0.9995375
"FilterDetectable",-0.0159957100071499,0.191639087535152,0.196694141063415,0.0813227578649269,0.9351853
"ICMBelow detection",0.316857681562511,587.89973945599,616.817330707139,0.000513697760728051,0.9995901
"ICMDetectable",0.336389127443132,588.367908408793,617.31263674367,0.000544925062959327,0.9995652
"TowelBelow detection",0.255647922406901,497.713691827579,522.129241724838,0.000489625751590499,0.9996093
"TowelDetectable",0.24718862824512,497.292142086753,521.68728497825,0.000473825288372564,0.9996219
"TailsDockedN",0.00406982233537463,0.188413960212887,0.19616541633497,0.0207468901063837,0.9834476
"TailsDockedY",0.0102438135063932,0.196026984495037,0.201400716894009,0.0508628452985311,0.9594348
"BeddingBelow detection",-0.0163701834633738,18.0386739683894,19.0049122483436,0.000861365906322485,0.9993127
"BeddingDetectable",-0.00820825306838783,21.9259120200585,23.0789361400588,0.0003556599411071,0.9997162
"TeatBelow detection",0.375611595446241,469.544987682392,492.485133958097,0.000762686159534309,0.9993915
"TeatDetectable",0.387562459141812,469.545464966554,492.485591223638,0.000786951874427163,0.9993721
