"","name","n.models","importance"
"Air","hygiene",4090,0.532851236390811
"Bedding","I(avghum/100)",4090,0.476913867288544
"BeddingRecycledManure","Silage",4090,0.410636508032533
"BeddingSand","BeddingSand",4090,0.383922865202696
"BeddingSawdust","UddersClippedFlamed",4090,0.280798568736809
"Commodity","BeddingRecycledManure",4090,0.237218401016323
"DW","Air",4090,0.178759791907407
"Equip","Equip",4090,0.159532645373284
"Filter","Manure",4090,0.12583339895869
"Howoftenarealleyscleanedpermonth","totalrain",4090,0.0976228793009172
"Howoftenaremilkingunitsrinsedorsanitized","DW",4090,0.0883663012421701
"Howoftenisbeddingtoppedupchangedperweek","Soil",4090,0.0783234378748956
"Howoftenisthefiltersockchangedperday","I(avgtemp/100)",4090,0.0753356428074965
"hygiene","WW",4090,0.0721585922056817
"I(avghum/100)","PredipIodine",4090,0.0645837089900702
"I(avgtemp/100)","BeddingSawdust",4090,0.0587056126677787
"ICM","Howoftenisbeddingtoppedupchangedperweek",4090,0.0550035620549507
"Manure","PredipPeroxide",4090,0.0537045726179225
"PredipIodine","Howoftenisthefiltersockchangedperday",4090,0.0522402717185831
"PredipPeroxide","Commodity",4090,0.0506744230207599
"Silage","Whattypeoftowel",4090,0.0444690256738132
"Soil","water_pond_well",4090,0.0426248022966013
"TailsDocked","Howoftenaremilkingunitsrinsedorsanitized",4090,0.0250766371179952
"Teat","Howoftenarealleyscleanedpermonth",4090,0.0231269058497499
"totalrain","Teat",4090,0.0223012746336516
"Towel","Filter",4090,0.0200423990512194
"UddersClippedFlamed","ICM",4090,0.0200258833315789
"water_pond_well","Towel",4090,0.0167576244139366
"Whattypeoftowel","TailsDocked",4090,0.015123895675761
"WW","Bedding",4090,0.0139654473896042
