"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",-7502.21326651852,13811688.0594309,14494618.5050835,0.000517586114038627,0.999587
"Commodity",56.5948443677854,211141.307409713,221369.883962918,0.00025565737920008,0.999796
"DW",-1182.13222626459,2275848.84441347,2388108.90868122,0.000495007669862678,0.999605
"ICM",2641.88015140528,4653977.54037808,4882936.78087064,0.000541043283983339,0.9995683
"NumberofMilkingCows",0.299313741481017,1327.64737337598,1393.20866772593,0.000214837696904063,0.9998286
"AverageAnnualProductionperCowlbs",0.157443168672344,330.569138289309,346.849380013083,0.000453923742537484,0.9996378
"Howofteniseachcowmilkedperday",1077.25041190913,2693623.58942335,2828483.81996792,0.000380857901432629,0.9996961
"Howoftenisthefiltersockchangedperday",41.0512932919423,180402.655389094,189199.706008826,0.000216973346089805,0.9998269
"PredipIodineTRUE",-5.8452902391197,113314.710336131,118849.488846173,4.91822917865911e-05,0.9999608
"BeddingSawdustTRUE",19.8422520611338,2233246.17081094,2346607.7522964,8.45571742517094e-06,0.9999933
"Silage",-45.4615776629672,918202.913447361,964850.390615919,4.7117748103876e-05,0.9999624
"hygiene",20.9478060675293,318773.301224236,334397.666385915,6.26433978858998e-05,0.99995
"I(avghum/100)",40.2275366392509,686228.955431176,720853.802907071,5.58054025338018e-05,0.9999555
"Howoftenisbeddingtoppedupchangedperweek",1.20144205580101,47784.4095306763,50122.9580442279,2.39698952871232e-05,0.9999809
"Manure",57.3701301225416,462087.624685316,484926.414952453,0.00011830687781396,0.9999056
"I(avgtemp/100)",108.322722078538,1404404.54009878,1473225.94666177,7.35275687507339e-05,0.9999413
"Filter",0.111677623887507,20645.1474015235,21672.9315667803,5.152861925642e-06,0.9999959
"Equip",-21.2746003583493,387731.010773666,406677.996774428,5.23131335530544e-05,0.9999583
"Bedding",1.426956928027,40571.9968755585,42554.908041109,3.35321351569725e-05,0.9999732
"UddersClippedFlamedY",-285.602655238388,1338453.43158771,1403792.20287361,0.000203450806076391,0.9998377
"BeddingSandTRUE",-118.591755953037,525836.715185974,551478.644764595,0.000215043242524212,0.9998284
"Teat",-2.70550350003954,210266.222156296,220933.452791356,1.22457847186888e-05,0.9999902
"WW",-4.14200458129023,3392461.70446188,3557885.64752693,1.16417585938135e-06,0.9999991
"BeddingRecycledManureTRUE",-6.22969594607023,4607780.6893464,4832975.34892311,1.2889980801285e-06,0.999999
"Soil",-0.274348880960542,17113.1827047544,17974.2890140407,1.52634065662476e-05,0.9999878
"WhattypeoftowelPaper",-13.2717156573462,2954654.79032492,3104727.09761349,4.27468026659983e-06,0.9999966
"WhattypeoftowelRobot brush",54.5184951222254,2681437.77070565,2817640.00113159,1.93489924547956e-05,0.9999846
"Howoftenaremilkingunitsrinsedorsanitized3/day",-18.6644645009124,236428.246617531,248409.930328062,7.51357422638589e-05,0.9999401
"Howoftenaremilkingunitsrinsedorsanitizedbetween groups",-20.6460023826216,6393831.85158719,6715427.05267381,3.07441391599976e-06,0.9999975
"PredipPeroxideTRUE",0.614471792882158,91259.3811962515,95875.8833380641,6.40903396650328e-06,0.9999949
"Air",-2.58444500802625,64971.7074558754,68267.3662241141,3.78576932284425e-05,0.9999698
"Towel",-0.836093964352945,63932.9155846309,67171.9206248444,1.24470754531873e-05,0.9999901
"totalrain",-2.01431379875288,70153.1724315487,73637.1389350928,2.73545907388986e-05,0.9999782
"TailsDockedN",169.980582844296,438897.642586939,461849.605456932,0.000368043148323414,0.9997063
"TailsDockedY",-125.797839541086,241629.915702821,253913.229214862,0.000495436334412635,0.9996047
"Howoftenarealleyscleanedpermonth90-120",0.818749277711304,147912.580036275,155442.401214554,5.26721969883365e-06,0.9999958
"HowoftenarealleyscleanedpermonthAuto",-48.248558406361,440410.023164965,462803.860409768,0.000104252713803298,0.9999168
"water_pond_wellneither",4.26279400820243,1419061.01273817,1494344.92388399,2.85261718367061e-06,0.9999977
"water_pond_wellpond",0.284101143698738,1916741.90361736,2018412.09589967,1.40754776626577e-07,0.9999999
"water_pond_wellwell",-5.62091489830599,1418759.19106563,1494024.90445093,3.76226318688559e-06,0.999997
