"","name","n.models","importance"
"Air","AverageAnnualProductionperCowlbs",31931,1
"AverageAnnualProductionperCowlbs","Howofteniseachcowmilkedperday",31931,1
"Bedding","NumberofMilkingCows",31931,1
"BeddingRecycledManure","ICM",4090,0.99999871257415
"BeddingSand","DW",4090,0.993987752959022
"BeddingSawdust","Commodity",4090,0.517723341339148
"Commodity","Howoftenisthefiltersockchangedperday",4090,0.234291777166936
"DW","Whattypeoftowel",4090,0.0901549759619255
"Equip","UddersClippedFlamed",4090,0.0857488540740944
"Filter","Howoftenaremilkingunitsrinsedorsanitized",4090,0.0844430138022257
"Howoftenarealleyscleanedpermonth","BeddingSawdust",4090,0.0643292769018611
"Howoftenaremilkingunitsrinsedorsanitized","BeddingSand",4090,0.0614719714093012
"Howoftenisbeddingtoppedupchangedperweek","hygiene",4090,0.0545768559923583
"Howofteniseachcowmilkedperday","Equip",4090,0.0488241909925095
"Howoftenisthefiltersockchangedperday","I(avgtemp/100)",4090,0.0488132429302561
"hygiene","Bedding",4090,0.0463836938072893
"I(avghum/100)","Howoftenisbeddingtoppedupchangedperweek",4090,0.046221108357104
"I(avgtemp/100)","Manure",4090,0.0461488353724592
"ICM","I(avghum/100)",4090,0.0459715520275305
"Manure","PredipIodine",4090,0.0459267342135338
"NumberofMilkingCows","Howoftenarealleyscleanedpermonth",4090,0.0410623878225955
"PredipIodine","Towel",4090,0.0317928986853184
"PredipPeroxide","Air",4090,0.0308782502248704
"Silage","Silage",4090,0.0277458776533152
"Soil","Filter",4090,0.0252629107644365
"TailsDocked","WW",4090,0.0249935021883614
"Teat","PredipPeroxide",4090,0.0249899881035867
"totalrain","Teat",4090,0.0249628724506637
"Towel","Soil",4090,0.0249598244372252
"UddersClippedFlamed","totalrain",4090,0.0249142530564222
"water_pond_well","BeddingRecycledManure",4090,0.0248973025485099
"Whattypeoftowel","TailsDocked",4090,0.0212366232016037
"WW","water_pond_well",4090,0.0114933254640226
