
Call:
model.avg(object = spmsc_consensus@objects)

Component model call: 
lmer(formula = BTM ~ <31931 unique rhs>, data = data)

Component models: 
                    df logLik   AICc delta weight
2/16/18/19/21        8 -35.72  93.44  0.00   0.13
2/8/16/18/19/21      9 -34.33  94.48  1.04   0.08
2/15/16/19/21        8 -37.04  96.08  2.64   0.03
2/15/16/18/19/21     9 -35.29  96.40  2.96   0.03
2/16/18/19/21/25     9 -35.42  96.67  3.22   0.03
2/16/19/21           7 -39.32  97.11  3.67   0.02
2/16/18/19/21/23     9 -35.75  97.33  3.89   0.02
2/7/16/18/19/21      9 -35.98  97.79  4.35   0.01
2/6/16/18/19/21      9 -35.98  97.80  4.35   0.01
2/16/18/19/21/28     9 -36.26  98.35  4.91   0.01
2/9/16/18/19/21      9 -36.31  98.45  5.01   0.01
2/8/16/18/19/21/28  10 -34.26  98.53  5.09   0.01
2/16/18/19/21/30     9 -36.40  98.62  5.18   0.01
2/16/18/19/20/21     9 -36.41  98.65  5.21   0.01
2/11/16/18/19/21     9 -36.47  98.76  5.32   0.01
2/16/18/19/21/22     9 -36.53  98.89  5.45   0.01
2/15/16/19/21/25     9 -36.54  98.90  5.46   0.01
2/8/16/19/21         8 -38.47  98.94  5.50   0.01
2/8/15/16/18/19/21  10 -34.49  98.99  5.54   0.01
2/6/8/16/18/19/21   10 -34.53  99.05  5.61   0.01
2/8/16/18/19/21/23  10 -34.56  99.11  5.67   0.01
2/16/18/19/21/27     9 -36.68  99.18  5.73   0.01
2/4/16/18/19/21      9 -36.70  99.22  5.78   0.01
2/15/16/18/19/21/23 10 -34.62  99.23  5.79   0.01
2/8/15/16/19/21      9 -36.78  99.40  5.95   0.01
2/15/16/18/19/21/25 10 -34.73  99.47  6.03   0.01
2/8/16/18/19/21/25  10 -34.79  99.58  6.14   0.01
2/12/16/18/19/21     9 -36.97  99.76  6.32   0.01
2/10/16/18/19/21     9 -36.98  99.79  6.35   0.01
2/15/16/19/21/22     9 -37.09 100.01  6.57   0.00
1/2/16/18/19/21      9 -37.09 100.02  6.57   0.00
2/7/16/19/21         8 -39.01 100.03  6.59   0.00
2/16/18/19/21/29     9 -37.11 100.04  6.60   0.00
2/16/18/19/21/33     9 -37.11 100.06  6.61   0.00
2/9/15/16/19/21      9 -37.14 100.11  6.66   0.00
2/11/15/16/19/21     9 -37.15 100.14  6.69   0.00
2/15/16/19/21/23     9 -37.16 100.14  6.70   0.00
2/16/19/21/25        8 -39.12 100.24  6.80   0.00
