"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",-0.692689530992081,1.43406095592558,1.48757497694007,0.465650163339624,0.6414659
"ICM",0.52561596045083,0.168683867283322,0.173713987165015,3.0257549724625,0.0024801
"hygiene",0.330324421847741,0.273524232389282,0.276997766954385,1.19251655159422,0.2330588
"NumberofMilkingCows",0.000147378877953343,0.000123059149750785,0.000128335146569282,1.14839061545608,0.2508073
"AverageAnnualProductionperCowlbs",-3.16473017992277e-05,3.98104002532224e-05,4.14868038606578e-05,0.762828149054863,0.4455659
"Howofteniseachcowmilkedperday",0.389004095357363,0.287316171071042,0.299811405936347,1.29749598465895,0.1944606
"BeddingSawdustTRUE",0.0786981934085417,0.177196210154415,0.179636529624216,0.438096825702274,0.6613161
"Howoftenisbeddingtoppedupchangedperweek",0.0540449258799449,0.107550522346607,0.108473248571805,0.498232758689525,0.61832
"Soil",-0.0330206042244067,0.120626472853479,0.122953034491254,0.268562743172927,0.7882662
"PredipPeroxideTRUE",-0.0107893982197763,0.107925477212287,0.111373444602461,0.0968758599349082,0.922825
"BeddingSandTRUE",-0.0177945903303035,0.0875519484893881,0.0890902169680901,0.199736749285021,0.8416865
"BeddingRecycledManureTRUE",0.00362921367880313,0.0926566870150799,0.0968243555946367,0.0374824459870112,0.9701003
"totalrain",0.0118223415456379,0.0614610239520473,0.0626799966095837,0.188614265876178,0.8503952
"Commodity",0.00930360016640134,0.0521730359301991,0.053289221417934,0.174586903671111,0.8614042
"UddersClippedFlamedY",0.0018042503275971,0.0454042976205292,0.0473905828831594,0.0380719167781802,0.9696303
"Manure",0.00643625341091816,0.0431983444204373,0.0443709593256051,0.145055538774524,0.884667
"Equip",0.0115917225106787,0.0649614965576153,0.0661995898507681,0.175102633366907,0.860999
"PredipIodineTRUE",0.00601847728541927,0.0497671956140121,0.051364852841763,0.11717111901323,0.9067245
"Teat",0.00019275060281183,0.0316893074306244,0.0331162456525846,0.00582042435709453,0.995356
"avgtemp",0.000446059886071305,0.00282580882311395,0.00284141438807466,0.156985157794445,0.8752565
"Filter",4.8839244653277e-05,0.0280396084734327,0.0290063365421699,0.00168374398408685,0.9986566
"DW",-0.000381056216594294,0.0178750380140998,0.0185635587778517,0.0205271101923051,0.9836229
"Air",0.00245347693878378,0.0236219674805501,0.0243057243816427,0.100942350051366,0.9195962
"Towel",-0.00527752202604206,0.0351986746250729,0.0358037516489289,0.147401369493075,0.8828152
"WW",-0.00162998985597923,0.0172324090449121,0.0177346618009842,0.0919098359061332,0.9267697
"Silage",-0.000659507315661193,0.0136204383852054,0.0141101389997836,0.0467399588105622,0.9627205
"WhattypeoftowelPaper",0.00232844597788637,0.0574741081789424,0.05985856309332,0.0388991291731528,0.9689708
"WhattypeoftowelRobot brush",0.0105117080852544,0.0872922808947112,0.0885691539561435,0.118683623086875,0.905526
"Bedding",-0.000264761967255518,0.00874749763499712,0.00908250694013769,0.0291507585956774,0.9767444
"Howoftenisthefiltersockchangedperday",9.55951686646463e-05,0.0039954433360485,0.0041573737822756,0.0229941240963715,0.981655
"Howoftenarealleyscleanedpermonth90-120",-0.00105594839723298,0.0263976614983264,0.0271769248114242,0.0388545946445384,0.9690063
"HowoftenarealleyscleanedpermonthAuto",-0.00016574648259004,0.0232622419033276,0.0242031966766034,0.00684812360964959,0.994536
"TailsDockedN",0.00107847326982742,0.0333278220520901,0.0343391211479145,0.0314065483849146,0.9749453
"TailsDockedY",0.00121570906572587,0.0250477844045423,0.0257393504149354,0.0472315363879752,0.9623287
"Howoftenaremilkingunitsrinsedorsanitized3/day",0.000428125796695754,0.017053905683325,0.0176941336427979,0.0241959174344778,0.9806963
"Howoftenaremilkingunitsrinsedorsanitizedbetween groups",0.000265845263594256,0.0172291479406688,0.0180658048581194,0.0147153844338563,0.9882592
"avghum",8.49531217427332e-06,0.000417701118229375,0.000433380863790001,0.0196024164518482,0.9843605
"water_pond_wellneither",-0.00012170801755445,0.0125167818988461,0.0129435315564108,0.00940299925287156,0.9924976
"water_pond_wellpond",0.000150366550641475,0.011915353194881,0.0124509367969424,0.0120767258796463,0.9903644
"water_pond_wellwell",0.000221523148631025,0.0112160546980231,0.0115122014746836,0.0192424662752971,0.9846477
