"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",-3.3070839338376,1.03305764359581,1.07614610635621,3.07308079665433,0.0021186
"Howoftenisbeddingtoppedupchangedperweek",0.156368059021695,0.139228798284278,0.140398239802033,1.1137465771806,0.2653879
"Commodity",0.165945546239052,0.13505859934635,0.135879132767951,1.22127322171276,0.2219826
"Air",-0.128507617712499,0.19787013135394,0.199591129445317,0.643854353996764,0.5196699
"Filter",0.0572550523683036,0.082270532794326,0.0827362851945451,0.692018649781953,0.4889256
"NumberofMilkingCows",0.000132933709078692,9.11177944805686e-05,9.55514023638923e-05,1.39122719070553,0.1641565
"AverageAnnualProductionperCowlbs",6.57340040808093e-06,3.1016831440098e-05,3.23633519965546e-05,0.203112471439322,0.8390471
"Howofteniseachcowmilkedperday",0.390885236001229,0.370307905991885,0.376916832002626,1.0370596450267,0.2997081
"Manure",0.222130620440691,0.263760507479218,0.264917882988515,0.838488583461619,0.4017564
"WW",-0.0180700600325332,0.0710659006606932,0.0717245403740092,0.251936923378059,0.8010898
"Bedding",-0.00205938332451808,0.0138253962408024,0.013955496930433,0.147567896348223,0.8826838
"Equip",-0.00840134000408203,0.122463062767081,0.125265201467327,0.0670684268709161,0.9465272
"PredipIodineTRUE",0.00518382984446731,0.0414784386033723,0.0425315808351356,0.121881899113068,0.9029926
"Towel",-0.00793407681261049,0.0428079592433803,0.0434675145375818,0.18252888155707,0.8551677
"UddersClippedFlamedY",-0.00446968386587996,0.0776851933902609,0.0790993796726404,0.0565071923999675,0.9549378
"BeddingRecycledManureTRUE",-0.00819482889099033,0.0830836642759397,0.0860459854824209,0.0952377829720427,0.924126
"totalrain",-0.00391142644356857,0.0427933208922756,0.0437302012484887,0.089444510473268,0.9287287
"BeddingSawdustTRUE",0.00591709768823474,0.0498132794743357,0.051313764063777,0.115312096007623,0.9081978
"Teat",-0.00273666031272343,0.0235760784403027,0.0241192848519787,0.113463576118382,0.909663
"Soil",0.00392136896474909,0.0306034906631654,0.0312635452592572,0.125429439695038,0.9001836
"hygiene",0.000176441991208196,0.0305537364620909,0.0318024632524265,0.00554806053253542,0.9955733
"PredipPeroxideTRUE",0.00365891093396238,0.0563339309466797,0.0584218875423072,0.0626291119285168,0.9500618
"DW",0.000731134058512838,0.0138707720805192,0.0143466784343891,0.0509619046566419,0.9593559
"ICM",0.00565086303299585,0.04778396793119,0.0489079126915038,0.115540875126685,0.9080164
"BeddingSandTRUE",-0.0026794774225909,0.0366523764133237,0.0379223541196251,0.0706569379669458,0.9436708
"water_pond_wellneither",0.0053560718879966,0.05538120785598,0.055939887921563,0.0957469184691022,0.9237216
"water_pond_wellpond",0.0145111460715466,0.135409345044646,0.135875535568099,0.106797342221138,0.9149498
"water_pond_wellwell",0.00392725943435381,0.0405852472736336,0.0411181560610924,0.0955115649767654,0.9239085
"TailsDockedN",0.000189096795822756,0.0390023539258314,0.040080714862276,0.00471789977979494,0.9962357
"TailsDockedY",-0.00411109341953615,0.0456939796684013,0.0462012711113486,0.0889822578610034,0.929096
"Silage",0.000664209572073701,0.00901255906643369,0.00922105071209205,0.0720318749795712,0.9425765
"WhattypeoftowelPaper",0.00162378706575001,0.0311648437421556,0.0320910502160801,0.0505993744304563,0.9596448
"WhattypeoftowelRobot brush",0.000661428089893889,0.0232514008415973,0.0241785526591618,0.0273559835949593,0.9781758
"Howoftenisthefiltersockchangedperday",2.81807617970577e-05,0.00254551731979726,0.00266151390962559,0.0105882451694653,0.991552
"Howoftenarealleyscleanedpermonth90-120",-0.000585050960954947,0.0174089674876516,0.0178970201285678,0.0326898532131094,0.9739219
"HowoftenarealleyscleanedpermonthAuto",-0.000742198892013361,0.0178361070428847,0.0183338828812851,0.0404823624553085,0.9677086
"avgtemp",-1.47767684010684e-05,0.000424803696702036,0.000431016768608259,0.0342835116340883,0.9726511
"Howoftenaremilkingunitsrinsedorsanitized3/day",0.000465457810341041,0.0143420725294823,0.0147144647073741,0.0316326702736104,0.974765
"Howoftenaremilkingunitsrinsedorsanitizedbetween groups",0.000222207417904676,0.0140557184655691,0.0145638497806694,0.0152574642866484,0.9878268
"avghum",-4.51392807872414e-06,0.000291654494002501,0.00030232161310011,0.0149308811647198,0.9880873
