"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",-0.482580427962962,1.53865929689996,1.59134501513445,0.303253174750536,0.7616969
"ICM",0.096618137293755,0.159097177986666,0.160638851159603,0.601461829416097,0.5475324
"hygiene",0.203062994834912,0.263154926181279,0.266029520422986,0.763310006017537,0.4452785
"NumberofMilkingCows",0.000244508042747998,0.000135020821083132,0.000140676429254032,1.73808820741723,0.0821953
"AverageAnnualProductionperCowlbs",1.27716991479414e-05,4.85689772649088e-05,5.02538412014118e-05,0.25414373991341,0.7993845
"Howofteniseachcowmilkedperday",-0.115870796559176,0.336137170611426,0.348640436432385,0.332350423103168,0.7396247
"Howoftenisbeddingtoppedupchangedperweek",0.0485074209577612,0.102169044664435,0.103099954584769,0.470489256305914,0.6380055
"BeddingRecycledManureTRUE",-0.290363407161656,0.409565999406127,0.414258399670942,0.70092340286232,0.4833508
"Teat",0.0818894024241517,0.184445566693547,0.186313264892123,0.439525347116678,0.6602809
"Manure",0.00855688683755077,0.0461833625162535,0.0470924918396021,0.181703844992864,0.8558151
"PredipIodineTRUE",-0.0227016210404928,0.090348879376457,0.0921070336086019,0.246470005069978,0.8053184
"totalrain",0.019930078610192,0.0809584082247536,0.0822638921280236,0.242270066424473,0.8085709
"BeddingSandTRUE",-0.022856545687102,0.109251595939962,0.111160841341568,0.205616882809207,0.8370902
"Equip",0.0182310265779271,0.0819338706788064,0.0836513300693515,0.21794066589034,0.8274753
"BeddingSawdustTRUE",0.0104504654021729,0.0805104976834384,0.0831505104872459,0.125681313811968,0.8999842
"Towel",-0.0156797007389731,0.0671439177563652,0.0682048397324575,0.229891321502679,0.8181762
"PredipPeroxideTRUE",0.0188088283260541,0.116837009085752,0.120235499286782,0.156433236753082,0.8756915
"UddersClippedFlamedY",-0.000249050190912261,0.055030316895472,0.0574614365596706,0.00433421448928859,0.9965418
"Howoftenaremilkingunitsrinsedorsanitized3/day",-0.000124266877494683,0.0396722656498879,0.0415098549511587,0.00299367168690178,0.9976114
"Howoftenaremilkingunitsrinsedorsanitizedbetween groups",-0.0118197698935559,0.0840932111330137,0.0852605477935187,0.138631174669211,0.8897416
"TailsDockedN",-0.0126466347498372,0.0918310678633362,0.0929505773679993,0.136057624470347,0.8917757
"TailsDockedY",-0.00266372424048638,0.047481796623938,0.0488433743591259,0.0545360404647942,0.9565081
"avgtemp",0.000686940596881804,0.00346094234726976,0.00347883146945156,0.197463028293837,0.8434652
"WhattypeoftowelPaper",-0.00474457701842807,0.0736868263114372,0.0759576467980268,0.0624634545491385,0.9501938
"WhattypeoftowelRobot brush",-0.00333206894128523,0.0951114604370456,0.0971359179398593,0.0343031600663746,0.9726354
"WW",-0.00198834070263744,0.0264537591187249,0.027365170649296,0.0726595396798154,0.942077
"Air",0.00136911808691148,0.0276443708021918,0.0286741192974789,0.0477475200792604,0.9619175
"Commodity",0.00303803771846502,0.0240370029399954,0.0246422009427629,0.123285972934055,0.9018806
"Filter",0.00261226171383661,0.0301076855148739,0.0309010502209172,0.0845363408415273,0.93263
"Soil",0.00136941601286108,0.0223780916995301,0.0231204822204139,0.0592295610362303,0.9527693
"Bedding",-0.00244513130149238,0.0170360711687691,0.0173340077851656,0.141059778661511,0.8878227
"DW",0.00172326215814134,0.0189484084164277,0.0195514465877485,0.088139880105914,0.9297655
"Silage",0.00104744274925094,0.0125241223211334,0.0129287339156941,0.08101665299024,0.9354287
"Howoftenisthefiltersockchangedperday",-0.000894830741861805,0.00899956084369121,0.00916723555379126,0.0976118412809556,0.9222405
"Howoftenarealleyscleanedpermonth90-120",0.00170224188466267,0.0365086173365395,0.0375123817475446,0.0453781339750331,0.9638059
"HowoftenarealleyscleanedpermonthAuto",-0.000674926864617224,0.0292960332860686,0.0303997650153791,0.0222017132131048,0.9822871
"avghum",3.26449857744023e-05,0.000720872641944798,0.000736450704428766,0.0443274554265293,0.9646434
"water_pond_wellneither",0.000621174533475791,0.0221868671687017,0.0225330347538491,0.0275672824482589,0.9780073
"water_pond_wellpond",0.000685336901951182,0.0249889650572091,0.025449721616979,0.0269290529879098,0.9785163
"water_pond_wellwell",0.000377251943308223,0.0154648189449726,0.0158232506438129,0.023841620903334,0.9809789
