"","name","n.models","importance"
"Air","AverageAnnualProductionperCowlbs",31931,1
"AverageAnnualProductionperCowlbs","Howofteniseachcowmilkedperday",31931,1
"avghum","NumberofMilkingCows",31931,1
"avgtemp","hygiene",4090,0.440927340412018
"Bedding","BeddingRecycledManure",4090,0.420318632780925
"BeddingRecycledManure","ICM",4090,0.314687030173272
"BeddingSand","Howoftenisbeddingtoppedupchangedperweek",4090,0.220430211711649
"BeddingSawdust","Teat",4090,0.214854873221569
"Commodity","PredipIodine",4090,0.0984919269969968
"DW","PredipPeroxide",4090,0.096239263029418
"Equip","BeddingSand",4090,0.0955767764242931
"Filter","Towel",4090,0.088942314009353
"Howoftenarealleyscleanedpermonth","Equip",4090,0.0875335366699694
"Howoftenaremilkingunitsrinsedorsanitized","totalrain",4090,0.0869455661051949
"Howoftenisbeddingtoppedupchangedperweek","BeddingSawdust",4090,0.0758161236314532
"Howofteniseachcowmilkedperday","Manure",4090,0.060815114431327
"Howoftenisthefiltersockchangedperday","UddersClippedFlamed",4090,0.0567121775649843
"hygiene","avgtemp",4090,0.0431723327031368
"ICM","Filter",4090,0.0370603974283803
"Manure","Air",4090,0.0369807087111237
"NumberofMilkingCows","Commodity",4090,0.0356548633839879
"PredipIodine","WW",4090,0.0354854949650297
"PredipPeroxide","Bedding",4090,0.033238600571897
"Silage","Soil",4090,0.032253059759819
"Soil","DW",4090,0.0288944332237393
"TailsDocked","Howoftenaremilkingunitsrinsedorsanitized",4090,0.0272372746907777
"Teat","TailsDocked",4090,0.0260002977474575
"totalrain","Whattypeoftowel",4090,0.0243737272915369
"Towel","Silage",4090,0.0227378731697892
"UddersClippedFlamed","Howoftenisthefiltersockchangedperday",4090,0.0197815985868185
"water_pond_well","Howoftenarealleyscleanedpermonth",4090,0.00996385382502219
"Whattypeoftowel","avghum",4090,0.00377720469435554
"WW","water_pond_well",4090,0.00148161796757305
