
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
5/8/17/27    5  -2.25 16.64  0.00   0.14
1/5/17/27    5  -2.25 16.64  0.00   0.14
1/2/17/27    5  -2.50 17.15  0.51   0.11
8/17/23/27   6  -1.39 17.88  1.24   0.07
1/17/23/27   6  -1.39 17.88  1.24   0.07
8/10/17/27   6  -2.50 20.12  3.47   0.02
1/10/17/27   6  -2.50 20.12  3.47   0.02
1/14/17/27   5  -4.03 20.21  3.57   0.02
8/14/17/27   5  -4.03 20.21  3.57   0.02
8/13/17/27   5  -4.36 20.86  4.22   0.02
1/13/17/27   5  -4.36 20.87  4.23   0.02
8/17/27/29   6  -3.14 21.39  4.75   0.01
1/17/27/29   6  -3.14 21.39  4.75   0.01
1/17/27      4  -6.08 21.53  4.89   0.01
8/17/27      4  -6.19 21.75  5.11   0.01
1/17/24/29   6  -3.35 21.81  5.17   0.01
2/8/17/27    5  -4.93 21.99  5.35   0.01
1/8/14/17    5  -4.95 22.05  5.41   0.01
8/16/17/27   5  -5.24 22.62  5.98   0.01
1/12/17/27   5  -5.26 22.67  6.03   0.01
1/16/17/27   5  -5.30 22.75  6.10   0.01
6/8/17/27    5  -5.33 22.81  6.16   0.01
1/6/17/27    5  -5.46 23.06  6.42   0.01
8/12/17/27   5  -5.48 23.10  6.46   0.01
8/17/19/27   5  -5.76 23.66  7.02   0.00
1/2/17/28    7  -2.70 23.71  7.07   0.00
1/17/24/28   7  -2.70 23.71  7.07   0.00
1/17/20/27   5  -5.81 23.76  7.12   0.00
1/3/17/27    5  -5.81 23.76  7.12   0.00
1/7/17/27    5  -5.81 23.77  7.12   0.00
1/17/22/27   5  -5.83 23.80  7.15   0.00
1/17/24/27   5  -5.84 23.82  7.18   0.00
1/17/25/27   5  -5.88 23.91  7.26   0.00
1/8/17/27    5  -5.90 23.94  7.30   0.00
8/17/20/27   5  -5.92 23.97  7.33   0.00
7/8/17/27    5  -5.92 23.98  7.34   0.00
8/17/27/28   7  -2.87 24.05  7.41   0.00
1/17/27/28   7  -2.87 24.05  7.41   0.00
1/15/17/27   5  -5.97 24.09  7.45   0.00
1/17/27/30   5  -5.97 24.09  7.45   0.00
1/17/19/27   5  -5.98 24.11  7.47   0.00
8/17/25/27   5  -5.99 24.12  7.48   0.00
8/17/22/27   5  -6.00 24.14  7.49   0.00
1/17/28      6  -4.53 24.16  7.52   0.00
1/17/26/27   5  -6.04 24.23  7.58   0.00
1/4/17/27    5  -6.05 24.24  7.60   0.00
1/17/18/27   5  -6.06 24.26  7.62   0.00
4/8/17/27    5  -6.07 24.28  7.64   0.00
1/9/17/27    5  -6.07 24.28  7.64   0.00
1/17/21/27   5  -6.08 24.29  7.65   0.00
8/17/27/30   5  -6.08 24.30  7.65   0.00
8/9/17/27    5  -6.12 24.38  7.73   0.00
3/8/17/27    5  -6.14 24.42  7.78   0.00
8/17/18/27   5  -6.16 24.46  7.82   0.00
8/17/26/27   5  -6.18 24.50  7.86   0.00
8/17/24/27   5  -6.18 24.50  7.86   0.00
8/15/17/27   5  -6.19 24.52  7.87   0.00
8/17/21/27   5  -6.19 24.52  7.88   0.00
1/14/17      4  -7.58 24.54  7.90   0.00
1/17/28/30   7  -3.14 24.59  7.95   0.00
1/14/17/24   5  -6.33 24.81  8.17   0.00
1/14/15/17   5  -6.62 25.38  8.74   0.00
1/14/17/28   7  -3.63 25.57  8.93   0.00
1/11/17/27   6  -5.30 25.72  9.08   0.00
1/16/17/28   7  -3.81 25.93  9.29   0.00
1/4/17/28    7  -3.89 26.08  9.44   0.00
1/5/17/28    7  -3.89 26.08  9.44   0.00
1/15/17/28   7  -3.94 26.19  9.54   0.00
1/2/14/17    5  -7.06 26.25  9.61   0.00
1/11/17/28   8  -2.25 26.26  9.62   0.00
1/6/17/28    7  -4.02 26.35  9.71   0.00
1/17/25/28   7  -4.04 26.38  9.74   0.00
8/11/17/27   6  -5.63 26.38  9.74   0.00
1/17/22/28   7  -4.05 26.40  9.76   0.00
1/13/17/28   7  -4.08 26.47  9.83   0.00
1/2/8/17     5  -7.17 26.47  9.83   0.00
1/5/14/17    5  -7.18 26.50  9.86   0.00
1/7/14/17    5  -7.21 26.56  9.91   0.00
1/14/17/19   5  -7.22 26.58  9.93   0.00
1/14/17/26   5  -7.24 26.62  9.98   0.00
1/14/17/22   5  -7.25 26.64 10.00   0.00
1/14/17/20   5  -7.28 26.70 10.06   0.00
1/3/14/17    5  -7.28 26.70 10.06   0.00
