"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",295.420308229666,314107.872585986,328669.593544695,0.000898836746787446,0.9992828
"UddersClippedFlamedY",167.465211896776,70160.9595104198,73271.1490512698,0.0022855546018474,0.9981764
"BeddingSawdustTRUE",22.7666578121416,13380.2223883544,13962.5045591335,0.00163055687578981,0.998699
"Equip",152.884483812454,135182.407532267,141194.140937162,0.00108279623217861,0.9991361
"ICM",246.239649616128,100290.79934021,104746.846057163,0.00235080729286827,0.9981243
"Air",421.34141437263,205640.051230069,214698.275766958,0.0019624815936108,0.9984342
"Bedding",-3.20316515944478,3289.94013449027,3433.22250377469,0.000932990843419856,0.9992556
"TailsDockedN",-18.1218360194193,17966.8320275937,18777.5807053899,0.00096507831886019,0.99923
"TailsDockedY",-3.3258379074906,6260.53703016442,6543.04262445437,0.000508301427696712,0.9995944
"Howoftenarealleyscleanedpermonth90-120",1.20439175054157,47182.3137813858,49311.4996985009,2.4424155783244e-05,0.9999805
"HowoftenarealleyscleanedpermonthAuto",-2.86143404245659,47604.8959880343,49753.1683952847,5.75125993931229e-05,0.9999541
"hygiene",-0.814558449302411,3.20198049008507,3.24471650191683,0.251041485079269,0.801782
"Howoftenisthefiltersockchangedperday",-0.0238666479488125,0.152511140661006,0.154794159922105,0.154183129136284,0.8774653
"WhattypeoftowelPaper",-0.712853026406605,16245.7668471843,16983.3667536086,4.19735990365478e-05,0.9999665
"WhattypeoftowelRobot brush",-4.0404135225013,38712.0820968981,40459.016888317,9.9864352454595e-05,0.9999203
"Teat",-0.931694488160822,2260.29521361081,2363.49034016098,0.000394202790817145,0.9996855
"I(avgtemp/100)",0.192950670091693,2.18647939251179,2.23352641142919,0.0863883539072315,0.9311577
"Howoftenisbeddingtoppedupchangedperweek",-0.0189094885685357,0.270852304494553,0.276778415915946,0.0683199537289001,0.9455309
"Commodity",0.010592975729715,0.228163579249028,0.233103077444748,0.0454433113703779,0.963754
"PredipIodineTRUE",0.0593798618653101,978.291454066103,1024.0803006549,5.79835993596761e-05,0.9999537
"water_pond_wellneither",-3.29467910000398,11010.291668464,11527.1425154591,0.000285819238860408,0.9997719
"water_pond_wellpond",-8.41610010593413,1215015.26704117,1271965.2198621,6.61661181808616e-06,0.9999947
"water_pond_wellwell",4.2374838592513,11383.5131543083,11917.8945071004,0.00035555641617122,0.9997163
"PredipPeroxideTRUE",-0.195877147676112,3651.47428030969,3822.38153460184,5.12447922592101e-05,0.9999591
"BeddingRecycledManureTRUE",-0.139628822700239,102993.86453619,107474.484451892,1.29918113506039e-06,0.999999
"DW",-0.0810567199613075,12911.8217283472,13517.018697298,5.99664184658637e-06,0.9999952
"Soil",-0.0034891137974302,0.061191563289835,0.0630807855158409,0.055311831786781,0.95589
"totalrain",0.0106410522682804,0.221791479489908,0.228583502137703,0.0465521447032082,0.9628702
"I(avghum/100)",0.0608071260987248,1.45012606268129,1.48805036984379,0.0408636208363753,0.9674046
"WW",0.183603011247485,2084.42547183221,2181.99982511646,8.41443748684467e-05,0.9999329
"Towel",0.00235352117622176,240.547870383616,251.822596637606,9.34594912309907e-06,0.9999925
"BeddingSandTRUE",0.0215051259852924,318.594001886942,333.526926587084,6.44779304788078e-05,0.9999486
"Manure",-0.000612800117061132,0.107626085184931,0.111682838081817,0.00548696762713178,0.9956221
"Filter",-0.00668508164179823,100.355477553714,105.059262822877,6.36315300733534e-05,0.9999492
"Silage",-0.0558183570455049,465095.725519703,486895.474074218,1.14641355316842e-07,0.9999999
"Howoftenaremilkingunitsrinsedorsanitized3/day",0.0642658267282303,936.45335797462,982.113469114191,6.54362543120342e-05,0.9999478
"Howoftenaremilkingunitsrinsedorsanitizedbetween groups",0.0383515588861603,783.469674172808,821.669879030101,4.66751427366796e-05,0.9999628
