"","name","n.models","importance"
"Air","ICM",4090,0.996626363440451
"Bedding","UddersClippedFlamed",4090,0.868042873611732
"BeddingRecycledManure","Air",4090,0.602272026422267
"BeddingSand","Equip",4090,0.415327960331058
"BeddingSawdust","BeddingSawdust",4090,0.285180274772406
"Commodity","TailsDocked",4090,0.150945332259362
"DW","Bedding",4090,0.129113625936015
"Equip","hygiene",4090,0.0897722641405572
"Filter","Howoftenarealleyscleanedpermonth",4090,0.0508187818221088
"Howoftenarealleyscleanedpermonth","Whattypeoftowel",4090,0.0453564150526838
"Howoftenaremilkingunitsrinsedorsanitized","Howoftenisthefiltersockchangedperday",4090,0.0410741656313539
"Howoftenisbeddingtoppedupchangedperweek","water_pond_well",4090,0.0410729570386512
"Howoftenisthefiltersockchangedperday","Teat",4090,0.0268719856320933
"hygiene","I(avgtemp/100)",4090,0.0184639487885615
"I(avghum/100)","Commodity",4090,0.0179771424774234
"I(avgtemp/100)","Howoftenisbeddingtoppedupchangedperweek",4090,0.0174127158929782
"ICM","Towel",4090,0.0146402303680297
"Manure","PredipPeroxide",4090,0.0131076738002241
"PredipIodine","WW",4090,0.0130920460201226
"PredipPeroxide","I(avghum/100)",4090,0.012996176296339
"Silage","PredipIodine",4090,0.0129152470409173
"Soil","DW",4090,0.012515972540459
"TailsDocked","Soil",4090,0.012252178123094
"Teat","totalrain",4090,0.0120736500401915
"totalrain","BeddingRecycledManure",4090,0.0119236567505612
"Towel","BeddingSand",4090,0.0116502194609557
"UddersClippedFlamed","Filter",4090,0.0108038651898459
"water_pond_well","Manure",4090,0.0104222000411335
"Whattypeoftowel","Silage",4090,0.0097513984131054
"WW","Howoftenaremilkingunitsrinsedorsanitized",4090,0.00484728358710887
